"id" "y" "x"
"985" 968 159 91.65
"986" 969 52 48.07
"987" 970 201 191.19
"988" 971 596 317.13
"989" 972 98 59.59
"990" 973 582 305.02
"991" 974 380 202.07
"992" 975 14 5.84
"993" 976 122 130.93
"994" 977 412 179.86
"995" 978 486 356.16
"996" 979 92 55.07
"997" 980 214 181.65
"998" 981 132 123.37
"999" 982 173 197.4
"1000" 983 300 164.41
